rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
1,Roger Federer,Switzerland,SUI,true,1981-08-08,933,565,198,170,245,65,172,2,80,1,83,8,31,58,18,32,40,18,66,3,3,5,3,20,6,0,28,0,54,103,310,1236-271,2550,2007-03-05,82.0%
2,Novak Djokovic,Serbia,SRB,true,1987-05-22,899,498,198,203,215,44,193,1,40,5,75,8,31,48,36,30,44,26,71,9,8,13,2,18,5,0,36,0,59,82,311,943-191,2629,2016-02-01,83.2%
3,Rafael Nadal,Spain,ESP,true,1986-06-03,838,494,175,169,213,20,195,3,57,6,81,8,21,43,22,29,38,23,55,0,6,9,9,20,0,0,35,1,56,86,209,1006-204,2552,2013-09-09,83.1%
4,Jimmy Connors,United States,USA,false,1952-09-02,614,402,151,61,134,31,121,0,115,1,73,8,27,37,6,5,24,12,17,0,0,2,1,8,1,2,20,0,31,109,268,1275-285,2521,1978-10-29,81.7%
5,Ivan Lendl,United States,USA,false,1960-03-07,607,395,141,71,132,63,101,0,98,1,55,8,27,39,12,6,27,18,17,0,1,2,0,8,5,2,18,0,33,94,270,1069-242,2518,1986-03-24,81.5%
6,Pete Sampras,United States,USA,false,1971-08-12,523,316,140,67,144,52,72,0,45,3,58,8,29,42,3,11,21,19,15,0,0,1,0,14,5,2,11,0,32,64,286,762-222,2407,1994-05-16,77.4%
7,John McEnroe,United States,USA,false,1959-02-16,515,321,129,65,95,53,86,0,77,10,48,8,17,31,25,5,24,14,16,2,1,3,0,7,3,5,17,0,32,77,170,881-198,2583,1985-04-08,81.6%
8,Bjorn Borg,Sweden,SWE,false,1956-06-06,484,254,132,98,114,29,53,0,56,2,37,8,11,33,43,12,21,25,18,0,0,20,2,11,2,1,11,0,25,66,109,650-138,2622,1980-07-07,82.5%
9,Andre Agassi,United States,USA,false,1970-04-29,417,292,82,43,124,25,91,3,46,3,33,8,10,31,0,12,15,13,1,0,0,1,1,8,1,0,17,1,27,60,101,870-274,2376,1995-09-29,76.0%
10,Rod Laver,Australia,AUS,false,1938-08-09,389,202,101,86,45,10,84,0,61,2,35,8,22,28,8,21,17,19,19,5,0,5,0,5,0,2,18,0,25,72,219,571-145,2509,1969-09-10,79.7%
