,,,,,,,,,,,,,,,,,,,,
,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,,,,,
,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,FMVP,,Player,Lg,Count
,Kawhi Leonard,2011,2021,554,31.2,19.2,"6,4",2.8,1.8,0.7,0.492,0.383,856,79.6,0.221,2,,,,
,Kevin Durant\cdcbdjc,2007,2021,868,36.8,27.1,7.1,4.1,1.1,"1,1",0.493,0.382,0.882,144.4,0.217,2,,,,
,James Harden\fdvdsvv,2009,2021,864,34.4,25.2,5.4,6.5,1.6,0.5,0.445,0.365,0.858,140.4,0.226,,,,,
,Stephen Curry\123hcsd,2009,2021,734,34.3,23.8,4.6,6.6,1.7,0.2,0.476,0.433,0.934,108.2,0.206,,,,,
,Michael Jordan\jordami01,1985,2003,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.327,0.835,214,0.25,6,,,,
,Wilt Chamberlain\chambwi01,1960,1973,1045,45.8,30.1,22.9,4.4,,,0.54,,0.511,247.3,0.248,1,,,,
,Bill Russell\russebi01,1957,1969,963,42.3,15.1,22.5,4.3,,,0.44,,0.561,163.5,0.193,,,,,
,Shaquille O'Neal\onealsh01,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.045,0.527,181.7,0.208,3,,,,
,Oscar Robertson\roberos01,1961,1974,1040,42.2,25.7,7.5,9.5,1.1,0.1,0.485,,0.838,189.2,0.207,,,,,
,Magic Johnson\johnsma02,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.303,0.848,155.8,0.225,3,,,,
,Kareem Abdul-Jabbar\abdulka01,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,0.559,0.056,0.721,273.4,0.228,2,,,,
,Tim Duncan\duncati01,1998,2016,1392,34,19,10.8,3,0.7,2.2,0.506,0.179,0.696,206.4,0.209,3,,,,
,Larry Bird\birdla01,1980,1992,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.376,0.886,145.8,0.203,2,,,,
,Kobe Bryant\bryanko01,1997,2016,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.329,0.837,172.7,0.17,2,,,,
,Jerry West\westje01,1961,1974,932,39.2,27,5.8,6.7,2.6,0.7,0.474,,0.814,162.6,0.213,1,,,,
,Elgin Baylor\bayloel01,1959,1972,846,40,27.4,13.5,4.3,,,0.431,,0.78,104.2,0.148,,,,,
,Hakeem Olajuwon\olajuha01,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.202,0.712,162.8,0.177,2,,,,
,Bob Pettit\pettibo01,1955,1965,792,38.8,26.4,16.2,3,,,0.436,,0.761,136,0.213,1,,,,
,Moses Malone\malonmo01,1977,1995,1329,33.9,20.6,12.2,1.4,0.8,1.3,0.491,0.1,0.769,167.1,0.178,,,,,
,Julius Erving\ervinju01,1977,1987,836,34.3,22,6.7,3.9,1.8,1.5,0.507,0.261,0.777,106.2,0.178,,,,,
,John Havlicek\havlijo01,1963,1978,1270,36.6,20.8,6.3,4.8,1.2,0.3,0.439,,0.815,131.7,0.136,1,,,,
,Karl Malone\malonka01,1986,2004,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.274,0.742,234.6,0.205,,,,,
,Isiah Thomas\thomais01,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,0.452,0.29,0.759,80.7,0.109,1,,,,
